;;;;;;;;
aaf08f24fc0a49b59df8002726ba2e1b;Garnaalsalade met verse ananas;4;B;A;/nl-be/recepten/receptDetails/Garnaalsalade-met-verse-ananas/r/aaf08f24fc0a49b59df8002726ba2e1b;2;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;461.1;2.54;0;0.9;5.39;4.22;83.89
;De Leeuw;349;;1,100000024;5,300000191;3,400000095;3,900000095;?
;;;;;;;;
7a063e36838242e886de00531b2110b6;Slaatje van zoete uien met azijn en sinaasappel;4;B;A;/nl-be/recepten/receptDetails/Slaatje-van-zoete-uien-met-azijn-en-sinaasappel/r/7a063e36838242e886de00531b2110b6;2;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;565.5;2.35;0;1.5;10.80;1.03;93.64
;De Leeuw;377;1,700000048;0,200000003;5,599999905;5,5;1,100000024;?
;;;;;;;;
bd27fc786bf14582a9a40027f9880032;Venusschelpen met Guinness;4;;B;/nl-be/recepten/receptDetails/Venusschelpen-met-Guinness/r/bd27fc786bf14582a9a40027f9880032;;2;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;77.1;0.51;0;0.6;0.73;0.48;14.28
;;;;;;;;
;;;;;;;;
18d19e44cc61454da6e4000197945c94;Quesadilla’s met rundvlees, halloumi en aubergines;8;C;A;/nl-be/recepten/receptDetails/Quesadilla-s-met-rundvlees-halloumi-en-aubergines/r/18d19e44cc61454da6e4000197945c94;3;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;753.7;1.09;5;2.8;1.61;10.54;37.63
;De Leeuw;989;1,200000048;1,200000048;12,60000038;2,5;14,39999962;?
;;;;;;;;
9b17e61d65574a30984500059f58bd21;Boterham met witte pens en noten;4;B;C;/nl-be/recepten/receptDetails/Boterham-met-witte-pens-en-noten/r/9b17e61d65574a30984500059f58bd21;2;3;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;1494.8;11.48;1;7.3;2.91;15.49;30.92
;De Leeuw;1037;2,799999952;0,699999988;17,79999924;2,299999952;7,300000191;?
;;;;;;;;
667c4811d4e9438dbb02000e1df9d1ae;Linzensalade met feta, kerstomaten en jonge spinazie;2;B;B;/nl-be/recepten/receptDetails/Linzensalade-met-feta-kerstomaten-en-jonge-spinazie/r/667c4811d4e9438dbb02000e1df9d1ae;2;2;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;755.5;1.70;0;5.1;0.86;5.10;76.48
;De Leeuw;773;2,400000095;0,600000024;14,19999981;0,899999976;6,199999809;?
;;;;;;;;
fd1a23af998f40a8b4e10014ff21242b;Brioche met rozijnen;10;E;D;/nl-be/recepten/receptDetails/Brioche-met-rozijnen/r/fd1a23af998f40a8b4e10014ff21242b;5;4;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
